dataset	threshold_group	k	cov_max_cnn	cov_max_gb	cov_mean_cnn	cov_mean_gb	cov_median_cnn	cov_median_gb	edges_cnn	edges_gb	longest_cnn	longest_gb	n50_cnn	n50_gb	n90_cnn	n90_gb	n_contigs_cnn	n_contigs_gb	nodes_cnn	nodes_gb	total_len_cnn	total_len_gb	cov_max_unfiltered	cov_mean_unfiltered	cov_median_unfiltered	edges_unfiltered	longest_unfiltered	n50_unfiltered	n90_unfiltered	n_contigs_unfiltered	nodes_unfiltered	total_len_unfiltered	k_unfiltered	delta_nodes_cnn	delta_edges_cnn	delta_n_contigs_cnn	delta_n50_cnn	delta_total_len_cnn	delta_cov_mean_cnn	delta_nodes_gb	delta_edges_gb	delta_n_contigs_gb	delta_n50_gb	delta_total_len_gb	delta_cov_mean_gb
3200_lemuru5	0.3	-1	3.428223	7.177749	3.428223	7.177749	3.428223	7.177749	0.0	0.0	16546.0	16594.0	16546.0	16594.0	16546.0	16594.0	1.0	1.0	1.0	1.0	16546.0	16594.0	8.087996	8.087996	8.087996	0.0	16605.0	16605.0	16605.0	1.0	1.0	16605.0		0.0	0.0	0.0	-59.0	-59.0	-4.659773	0.0	0.0	0.0	-11.0	-11.0	-0.910247
3200_lemuru5	0.3	115	5.6153	11.092603	5.6153	11.092603	5.6153	11.092603	0.0	0.0	16546.0	16594.0	16546.0	16594.0	16546.0	16594.0	1.0	1.0	1.0	1.0	16546.0	16594.0	12.420982	12.420982	12.420982	0.0	16605.0	16605.0	16605.0	1.0	1.0	16605.0		0.0	0.0	0.0	-59.0	-59.0	-6.805682	0.0	0.0	0.0	-11.0	-11.0	-1.328379
3200_lemuru5	0.3	127	3.428223	7.177749	3.428223	7.177749	3.428223	7.177749	0.0	0.0	16546.0	16594.0	16546.0	16594.0	16546.0	16594.0	1.0	1.0	1.0	1.0	16546.0	16594.0	8.087996	8.087996	8.087996	0.0	16605.0	16605.0	16605.0	1.0	1.0	16605.0		0.0	0.0	0.0	-59.0	-59.0	-4.659773	0.0	0.0	0.0	-11.0	-11.0	-0.910247
3200_lemuru5	0.5	115	6.607206	11.942351	6.607206	11.942351	6.607206	11.942351	0.0	0.0	16546.0	16594.0	16546.0	16594.0	16546.0	16594.0	1.0	1.0	1.0	1.0	16546.0	16594.0	12.420982	12.420982	12.420982	0.0	16605.0	16605.0	16605.0	1.0	1.0	16605.0		0.0	0.0	0.0	-59.0	-59.0	-5.813776000000001	0.0	0.0	0.0	-11.0	-11.0	-0.47863100000000003
3200_lemuru5	0.5	127	4.101468	7.753871	4.101468	7.753871	4.101468	7.753871	0.0	0.0	16546.0	16594.0	16546.0	16594.0	16546.0	16594.0	1.0	1.0	1.0	1.0	16546.0	16594.0	8.087996	8.087996	8.087996	0.0	16605.0	16605.0	16605.0	1.0	1.0	16605.0		0.0	0.0	0.0	-59.0	-59.0	-3.9865280000000007	0.0	0.0	0.0	-11.0	-11.0	-0.3341250000000002
3200_lemuru5	0.7	115	7.625525	12.065052	7.625525	12.065052	7.625525	12.065052	0.0	0.0	16546.0	16594.0	16546.0	16594.0	16546.0	16594.0	1.0	1.0	1.0	1.0	16546.0	16594.0	12.420982	12.420982	12.420982	0.0	16605.0	16605.0	16605.0	1.0	1.0	16605.0		0.0	0.0	0.0	-59.0	-59.0	-4.795457000000001	0.0	0.0	0.0	-11.0	-11.0	-0.35593000000000075
3200_lemuru5	0.7	127	4.783056	7.84223	4.783056	7.84223	4.783056	7.84223	0.0	0.0	16546.0	16594.0	16546.0	16594.0	16546.0	16594.0	1.0	1.0	1.0	1.0	16546.0	16594.0	8.087996	8.087996	8.087996	0.0	16605.0	16605.0	16605.0	1.0	1.0	16605.0		0.0	0.0	0.0	-59.0	-59.0	-3.30494	0.0	0.0	0.0	-11.0	-11.0	-0.2457660000000006
3200_lemuru50	0.3	115	4.145146	8.577307	4.145146	8.577307	4.145146	8.577307	0.0	0.0	16719.0	16666.0	16719.0	16666.0	16719.0	16666.0	1.0	1.0	1.0	1.0	16719.0	16666.0	9.855459	9.855459	9.855459	0.0	16657.0	16657.0	16657.0	1.0	1.0	16657.0		0.0	0.0	0.0	62.0	62.0	-5.710312999999999	0.0	0.0	0.0	9.0	9.0	-1.2781520000000004
3200_lemuru50	0.3	127	2.59366	5.559103	2.59366	5.559103	2.59366	5.559103	0.0	0.0	16719.0	16666.0	16719.0	16666.0	16719.0	16666.0	1.0	1.0	1.0	1.0	16719.0	16666.0	6.258178	6.258178	6.258178	0.0	16635.0	16635.0	16635.0	1.0	1.0	16635.0		0.0	0.0	0.0	84.0	84.0	-3.664518	0.0	0.0	0.0	31.0	31.0	-0.6990749999999997
3200_lemuru50	0.5	115	5.122798	9.389705	5.122798	9.389705	5.122798	9.389705	0.0	0.0	16744.0	16666.0	16744.0	16666.0	16744.0	16666.0	1.0	1.0	1.0	1.0	16744.0	16666.0	9.855459	9.855459	9.855459	0.0	16657.0	16657.0	16657.0	1.0	1.0	16657.0		0.0	0.0	0.0	87.0	87.0	-4.732660999999999	0.0	0.0	0.0	9.0	9.0	-0.46575400000000045
3200_lemuru50	0.5	127	3.262081	6.076486	3.262081	6.076486	3.262081	6.076486	0.0	0.0	16744.0	16666.0	16744.0	16666.0	16744.0	16666.0	1.0	1.0	1.0	1.0	16744.0	16666.0	6.258178	6.258178	6.258178	0.0	16635.0	16635.0	16635.0	1.0	1.0	16635.0		0.0	0.0	0.0	109.0	109.0	-2.9960970000000002	0.0	0.0	0.0	31.0	31.0	-0.18169199999999996
3200_lemuru50	0.7	115	5.88378	9.475923	5.88378	9.475923	5.88378	9.475923	0.0	0.0	16644.0	16666.0	16644.0	16666.0	16644.0	16666.0	1.0	1.0	1.0	1.0	16644.0	16666.0	9.855459	9.855459	9.855459	0.0	16657.0	16657.0	16657.0	1.0	1.0	16657.0		0.0	0.0	0.0	-13.0	-13.0	-3.971679	0.0	0.0	0.0	9.0	9.0	-0.3795359999999999
3200_lemuru50	0.7	127	3.770116	6.123043	3.770116	6.123043	3.770116	6.123043	0.0	0.0	16644.0	16666.0	16644.0	16666.0	16644.0	16666.0	1.0	1.0	1.0	1.0	16644.0	16666.0	6.258178	6.258178	6.258178	0.0	16635.0	16635.0	16635.0	1.0	1.0	16635.0		0.0	0.0	0.0	9.0	9.0	-2.488062	0.0	0.0	0.0	31.0	31.0	-0.135135
