dataset	threshold_group	k	nodes	edges	n_contigs	n50	n90	longest	total_len	cov_mean	cov_median	cov_max	method	nodes_base	edges_base	n50_base	total_len_base	nodes_base_ds	edges_base_ds	n50_base_ds	total_len_base_ds	nodes_base_final	edges_base_final	n50_base_final	total_len_base_final	len_ratio	n50_ratio	frag_penalty	len_penalty	n50_reward	score
10K_lemuru5	0.7	115	2.0	2.0	1.0	16690.0	16690.0	16690.0	16690.0	35.543891	35.543891	35.543891	cnn	2.0	2.0	16754.0	16754.0	2.0	2.0	16766.0	16766.0	2.0	2.0	16754.0	16754.0	0.9961800167123674	0.9961800167123674	3.0	0.0038199832876325557	0.9961800167123674	-1.255729974931449
10K_lemuru5	0.7	115	2.0	2.0	1.0	16690.0	16690.0	16690.0	16690.0	35.543891	35.543891	35.543891	cnn	2.0	2.0	16754.0	16754.0	2.0	2.0	16766.0	16766.0	2.0	2.0	16754.0	16754.0	0.9961800167123674	0.9961800167123674	3.0	0.0038199832876325557	0.9961800167123674	-1.255729974931449
10K_lemuru5	0.7	115	2.0	2.0	1.0	16690.0	16690.0	16690.0	16690.0	35.543891	35.543891	35.543891	cnn	2.0	2.0	16754.0	16754.0	2.0	2.0	16766.0	16766.0	2.0	2.0	16754.0	16754.0	0.9961800167123674	0.9961800167123674	3.0	0.0038199832876325557	0.9961800167123674	-1.255729974931449
10K_lemuru5	0.7	127	2.0	2.0	1.0	16702.0	16702.0	16702.0	16702.0	23.303107	23.303107	23.303107	cnn	2.0	2.0	16766.0	16766.0	2.0	2.0	16766.0	16766.0	2.0	2.0	16766.0	16766.0	0.9961827508051415	0.9961827508051415	3.0	0.0038172491948584852	0.9961827508051415	-1.2557258737922878
10K_lemuru5	0.7	127	2.0	2.0	1.0	16702.0	16702.0	16702.0	16702.0	23.303107	23.303107	23.303107	cnn	2.0	2.0	16766.0	16766.0	2.0	2.0	16766.0	16766.0	2.0	2.0	16766.0	16766.0	0.9961827508051415	0.9961827508051415	3.0	0.0038172491948584852	0.9961827508051415	-1.2557258737922878
10K_lemuru5	0.7	127	2.0	2.0	1.0	16702.0	16702.0	16702.0	16702.0	23.303107	23.303107	23.303107	cnn	2.0	2.0	16766.0	16766.0	2.0	2.0	16766.0	16766.0	2.0	2.0	16766.0	16766.0	0.9961827508051415	0.9961827508051415	3.0	0.0038172491948584852	0.9961827508051415	-1.2557258737922878
10K_lemuru50	0.3	115	1.0	0.0	1.0	16687.0	16687.0	16687.0	16687.0	18.651822	18.651822	18.651822	cnn	2.0	2.0	16439.0	16439.0	1.0	0.0	16758.0	16758.0	2.0	2.0	16439.0	16439.0	1.0150860757953029	1.0150860757953029	0.0	0.015086075795302856	1.0150860757953029	1.0075430378976513
10K_lemuru50	0.3	115	1.0	0.0	1.0	16687.0	16687.0	16687.0	16687.0	18.651822	18.651822	18.651822	cnn	2.0	2.0	16439.0	16439.0	1.0	0.0	16758.0	16758.0	2.0	2.0	16439.0	16439.0	1.0150860757953029	1.0150860757953029	0.0	0.015086075795302856	1.0150860757953029	1.0075430378976513
10K_lemuru50	0.3	115	1.0	0.0	1.0	16687.0	16687.0	16687.0	16687.0	18.651822	18.651822	18.651822	cnn	2.0	2.0	16439.0	16439.0	1.0	0.0	16758.0	16758.0	2.0	2.0	16439.0	16439.0	1.0150860757953029	1.0150860757953029	0.0	0.015086075795302856	1.0150860757953029	1.0075430378976513
10K_lemuru50	0.3	127	1.0	0.0	1.0	16687.0	16687.0	16687.0	16687.0	12.1468	12.1468	12.1468	cnn	1.0	0.0	16758.0	16758.0	1.0	0.0	16758.0	16758.0	1.0	0.0	16758.0	16758.0	0.9957632175676694	0.9957632175676694	0.0	0.00423678243233061	0.9957632175676694	0.9936448263515041
